,Name,Date,Time,Theatre,Cluster
258,"Колискова для лисиці, яку ще ніхто не бачив",2024-01-03,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
259,Емігранти ,2024-01-03,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
260,«За двома зайцями» ,2024-01-03,18:00:00,Київський Національний Академічний театр оперети,Вечірня
261,Сімейний альбом / Album di Famiglia. ,2024-01-03,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
262,Занадто одружений таксист,2024-01-03,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
263,Мегери ,2024-01-03,18:00:00,Театр «Актор»,Вечірня
264,«Небезпечні ми» ,2024-01-03,18:30:00,Київський академічний театр на Печерську,Вечірня
265,ULTIMA THULE ,2024-01-03,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
266,Інстинкт ,2024-01-03,19:00:00,Театр на Михайлівській,Вечірня
267,Льовушка ,2024-01-04,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
268,Хазяїн ,2024-01-04,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
269,Вистава «Граємо в Дурня». Перший Театр Антрепризи та комедії,2024-01-04,18:00:00,Будинок Архітектора,Вечірня
270,Сімейка Аддамсів ,2024-01-04,18:00:00,Київський Національний Академічний театр оперети,Вечірня
271,«37 листівок»,2024-01-04,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
272,Джульєтта і Ромео,2024-01-04,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
273,Гей-парад ,2024-01-04,18:30:00,Сцена 6,Вечірня
274,Чорний квадрат «Ти – мої бажання»,2024-01-04,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
275,Світ у горіховій шкаралупі ,2024-01-04,18:30:00,Київський академічний театр на Печерську,Вечірня
276,Варшавська мелодія,2024-01-04,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
277,Вбити не можна розлучитися ,2024-01-05,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
278,Сімейка Аддамсів,2024-01-05,18:00:00,Київський Національний Академічний театр оперети,Вечірня
279,Ідеальна пара.,2024-01-05,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
280,Вид з мосту,2024-01-05,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
281,Довірливі розмови ,2024-01-05,18:00:00,Український малий драматичний театр,Вечірня
282,Свої ,2024-01-05,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
283,"Дивні Люди. Сексу немає, але ви тримайтеся!",2024-01-05,19:00:00,Будинок Архітектора,Вечірня
284,«Комедія про ніжне серце» ,2024-01-05,19:00:00,Театр на Троєщині,Вечірня
285,Безіменна зірка ,2024-01-06,12:00:00,Національний академічний драматичний театр ім.Лесі Українки,Денна
286,Ножиці ,2024-01-06,14:00:00,Київський академічний драматичний театр на Подолі,Денна
287,Поїхати не можна залишитися,2024-01-06,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
288,Мавка Шоу,2024-01-06,15:00:00,Концерт-хол ВДНГ,Денна
289,Френк Сінатра ,2024-01-06,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
290,AGNORIS ,2024-01-06,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
291,Мужики за викликом,2024-01-06,18:00:00,Будинок Архітектора,Вечірня
292,Жіноча логіка.,2024-01-06,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
293,Мавка Шоу,2024-01-06,18:00:00,Концерт-хол ВДНГ,Вечірня
294,Три кохання ,2024-01-06,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
295,Довірливі розмови ,2024-01-06,18:00:00,Український малий драматичний театр,Вечірня
296,"«Двері, шафа, шифоньєр»",2024-01-06,18:00:00,Будинок Офіцерів,Вечірня
297,Ножиці ,2024-01-07,14:00:00,Київський академічний драматичний театр на Подолі,Денна
298,"Історія, якій понад 2000 років ",2024-01-07,14:00:00,Український малий драматичний театр,Денна
299,Дзвінок із минулого.,2024-01-07,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
300,Мавка Шоу,2024-01-07,15:00:00,Концерт-хол ВДНГ,Денна
301,Летюча миша ,2024-01-07,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
302,Море-Океан,2024-01-07,17:00:00,Київський академічний театр на Печерську,Післяобідня
303,Для домашнього огнища ,2024-01-07,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
304,Вистава «Кохання на трьох»,2024-01-07,18:00:00,Будинок Архітектора,Вечірня
305,Близькість,2024-01-07,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
306,Чорний Квадрат. «Кафе розбитих сердець»,2024-01-07,18:00:00,Культурний центр «Арт-Братислава»,Вечірня
307,Мавка Шоу,2024-01-07,18:00:00,Концерт-хол ВДНГ,Вечірня
308,Не боюсь Вірджинії Вулф ,2024-01-07,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
309,Методи виховання малих засранців ,2024-01-07,18:30:00,Театр на Михайлівській,Вечірня
310,Дамський кравець ,2024-01-08,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
311,Украдене щастя ,2024-01-08,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
312,Сойчине крило,2024-01-09,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
313,Віддайте тіло.,2024-01-09,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
314,Потрібен брехун! ,2024-01-09,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
315,Академія сміху ,2024-01-09,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
316,Сойчине крило ,2024-01-10,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
317,Прем’єра. Бродвейська історія ,2024-01-10,18:00:00,Київський Національний Академічний театр оперети,Вечірня
318,Усі найкращі речі.,2024-01-10,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
319,Альбатроси,2024-01-10,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
320,Сімейна вечеря ,2024-01-10,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
321,Соломія,2024-01-10,18:30:00,Київський академічний театр на Печерську,Вечірня
322,"Ей ти, - привіт!",2024-01-10,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
323,Вбити не можна розлучитися ,2024-01-11,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
324,Бастьєн і Бастьєнна ,2024-01-11,18:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Вечірня
325,Доріан Грей ,2024-01-11,18:00:00,Київський Національний Академічний театр оперети,Вечірня
326,Хлібне перемир’я.,2024-01-11,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
327,Цвіт Жакаранди ,2024-01-11,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
328,Соломія,2024-01-11,18:30:00,Київський академічний театр на Печерську,Вечірня
329,Варшавська мелодія ,2024-01-11,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
330,Процес ,2024-01-12,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
331,Льовушка ,2024-01-12,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
332,За двома зайцями,2024-01-12,18:00:00,Київський Національний Академічний театр оперети,Вечірня
333,Чорний дрізд,2024-01-12,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
334,«37 листівок».,2024-01-12,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
335,Пасажир без багажу ,2024-01-12,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
336,Чорний квадрат. «Тестостерон або Пір Духа»,2024-01-12,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
337,Наталка Полтавка,2024-01-12,18:30:00,Київський академічний театр на Печерську,Вечірня
338,Життя - це сон ,2024-01-12,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
339,Як козаки змія приборкували ,2024-01-13,12:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Денна
340,Вільні стосунки,2024-01-13,14:00:00,Київський академічний драматичний театр на Подолі,Денна
341,«Море... Ніч... Свічки...»,2024-01-13,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
342,Процес ,2024-01-13,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
343,Хостел 24/7 ,2024-01-13,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
344,Вистава-інсайт «Пропащі». Театр Veritas,2024-01-13,17:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Післяобідня
345,THE BALL / БАЛ. Музично-пластична вистава,2024-01-13,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
346,SALIDA CRUZADA - 8 кроків танго ,2024-01-13,17:00:00,Київський академічний театр на Печерську,Післяобідня
347,Каліка з острова Інішмаан ,2024-01-13,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
348,Близькість.,2024-01-13,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
349,Амурні справи,2024-01-13,18:00:00,Будинок Архітектора,Вечірня
350,Імперія Янголів,2024-01-13,18:00:00,Будинок кіно,Вечірня
351,Театральне об'єднання Fe.Nik.S. «Клуб хтивих невдах»,2024-01-13,18:00:00,КУЛЬТ театр,Вечірня
352,13 перших правил,2024-01-14,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
353,Процес,2024-01-14,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
354,Вітер шумить в тополях ,2024-01-14,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
355,Іронічна комедія «Готель «Portal»»,2024-01-14,17:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Післяобідня
356,SALIDA CRUZADA - 8 кроків танго ,2024-01-14,17:00:00,Київський академічний театр на Печерську,Післяобідня
357,Джульєтта і Ромео ,2024-01-14,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
358,За двома зайцями ,2024-01-14,18:00:00,Центральний будинок офіцерів Збройних Сил України,Вечірня
359,Сімейний альбом / Album di Famiglia. ,2024-01-14,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
360,Чорний Квадрат. Суперстар,2024-01-14,18:00:00,Культурний центр «Арт-Братислава»,Вечірня
361,Кицюня ,2024-01-14,18:00:00,Сцена 6,Вечірня
362,Україна в огні,2024-01-15,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
363,Сто Тисяч ,2024-01-16,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
364,Занадто одружений таксист ,2024-01-16,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
365,«Кавова кантата»,2024-01-16,18:00:00,Київський Національний Академічний театр оперети,Вечірня
366,Жіноча логіка.,2024-01-16,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
367,Комедіанти,2024-01-17,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
368,№ 13 ,2024-01-17,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
369,Френк Сінатра ,2024-01-17,18:00:00,Київський Національний Академічний театр оперети,Вечірня
370,Корсиканка.,2024-01-17,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
371,Свої ,2024-01-17,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
372,Наталка Полтавка,2024-01-17,18:30:00,Київський академічний театр на Печерську,Вечірня
373,Сніг у квітні ,2024-01-18,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
374,Бережіть Флорес ,2024-01-18,18:00:00,Київський академічний театр юного глядача на Липках.,Вечірня
375,Ім'я ,2024-01-18,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
376,Дві меси у стилі Джаз ,2024-01-18,18:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Вечірня
377,Кармен - сюїта ,2024-01-18,18:00:00,Київський Національний Академічний театр оперети,Вечірня
378,Жінка в Берліні ,2024-01-18,18:00:00,Український малий драматичний театр,Вечірня
379,VINO,2024-01-18,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
380,Розпусник ,2024-01-18,18:00:00,Київський академічний театр на Печерську,Вечірня
381,Святе сімейство,2024-01-18,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
382,Чорний Квадрат «Дві смужки або подвійна суцільна любові»,2024-01-18,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
383,«Емігранти»,2024-01-18,19:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Вечірня
384,Швейцарія,2024-01-19,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
385,№13 або Олінклюзів,2024-01-19,18:00:00,Будинок Офіцерів,Вечірня
386,Хвиля ,2024-01-19,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
387,"В джазі тільки дівчата, або Sugar ",2024-01-19,18:00:00,Київський Національний Академічний театр оперети,Вечірня
388,Зальот ,2024-01-19,18:00:00,Український малий драматичний театр,Вечірня
389,Ідеальна пара,2024-01-19,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
390,Романтика.,2024-01-19,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
391,№13 або Олінклюзів,2024-01-19,18:00:00,Будинок Офіцерів,Вечірня
392,Квіти для Елджернона ,2024-01-19,18:30:00,Сцена 6,Вечірня
393,Чорний Квадрат. МЖМ: Мрію. Жадаю. Можу,2024-01-19,18:30:00,Палац культури «Дарниця»,Вечірня
394,Твій хтось ,2024-01-19,18:30:00,Київський академічний театр на Печерську,Вечірня
395,Швейцарія,2024-01-20,14:00:00,Київський академічний драматичний театр на Подолі,Денна
396,Білосніжка та семеро Гномів ,2024-01-20,15:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Денна
397,Зелені коридори,2024-01-20,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
398,Пригоди Тома Сойєра ,2024-01-20,16:00:00,Київський академічний театр юного глядача на Липках.,Післяобідня
399,Для домашнього огнища ,2024-01-20,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
400,Тигролови ,2024-01-20,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
401,Мистецтво домовлятися ,2024-01-20,17:00:00,Київський академічний театр на Печерську,Післяобідня
402,Академія сміху ,2024-01-20,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
403,КО:ЛІНА,2024-01-20,18:00:00,ProEnglish Theatre Hub,Вечірня
404,Холодна м`ята ,2024-01-20,18:00:00,Український малий драматичний театр,Вечірня
405,З цією виставою щось не так,2024-01-20,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
406,Театральне об`єднання Fe.Nik.S «Інтимна розмова з ароматом бензину»,2024-01-20,18:00:00,КУЛЬТ театр,Вечірня
407,Піна днів ,2024-01-20,18:00:00,Сцена 6,Вечірня
408,Ігор Завадський,2024-01-20,19:00:00,Національна філармонія України,Вечірня
409,Вільні стосунки,2024-01-21,14:00:00,Київський академічний драматичний театр на Подолі,Денна
410,Намалюй мені літак.,2024-01-21,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
411,Цар Едіп ,2024-01-21,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
412,Не боюсь Вірджинії Вулф ,2024-01-21,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
413,Цвіт Жакаранди ,2024-01-21,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
414,Тигролови ,2024-01-21,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
415,Море-Океан ,2024-01-21,17:00:00,Київський академічний театр на Печерську,Післяобідня
416,Android. Номер на твоїй спині ,2024-01-21,18:00:00,Український малий драматичний театр,Вечірня
417,З цією виставою щось не так,2024-01-21,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
418,"Театральне об'єднання Fe.Nik.S «Якщо одяг заважає - знімай, або Другі Руки»",2024-01-21,18:00:00,Культурний центр «Арт-Братислава»,Вечірня
419,Kyiv Modern Ballet. Болеро. Дощ. Раду Поклітару,2024-01-21,18:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Вечірня
420,7 розгніваних джентльменів,2024-01-22,18:00:00,Театр «Актор»,Вечірня
421,Камінний господар ,2024-01-23,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
422,Імітація ,2024-01-23,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
423,Сімейна вечеря ,2024-01-23,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
424,Альбатроси,2024-01-23,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
425,Майстер ,2024-01-23,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
426,Хазяїн ,2024-01-24,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
427,Спостерігач ,2024-01-24,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
428,Дамський кравець ,2024-01-24,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
429,Баядера ,2024-01-24,18:00:00,Київський Національний Академічний театр оперети,Вечірня
430,Дзвінок із минулого,2024-01-24,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
431,Жіноча логіка.,2024-01-24,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
432,Приємна несподіванка,2024-01-24,18:00:00,Театр «Актор»,Вечірня
433,Це все вона ,2024-01-24,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
434,«Покоління пепсі» ,2024-01-24,18:30:00,Київський академічний театр на Печерську,Вечірня
435,Украдене щастя ,2024-01-24,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
436,Поліанна ,2024-01-25,12:00:00,Київський академічний театр юного глядача на Липках.,Денна
437,Декоратор ,2024-01-25,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
438,Ножиці ,2024-01-25,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
439,Жінки - дивовижні створіння,2024-01-25,18:00:00,Київський академічний театр юного глядача на Липках.,Вечірня
440,Потрібен брехун! ,2024-01-25,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
441,Сорочинський ярмарок ,2024-01-25,18:00:00,Київський Національний Академічний театр оперети,Вечірня
442,Пісні Полісся ,2024-01-25,18:00:00,Український малий драматичний театр,Вечірня
443,Хлібне перемир’я.,2024-01-25,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
444,Варшавська мелодія,2024-01-25,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
445,Легені ,2024-01-25,18:30:00,Київський академічний театр на Печерську,Вечірня
446,«Ножиці для кігтів алігатора» ,2024-01-25,19:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Вечірня
447,Поліанна ,2024-01-26,12:00:00,Київський академічний театр юного глядача на Липках.,Денна
448,"Хіба ревуть воли, як ясла повні? ",2024-01-26,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
449,Марлені,2024-01-26,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
450,AGNORIS ,2024-01-26,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
451,Точка зору,2024-01-26,18:00:00,Український малий драматичний театр,Вечірня
452,Близькість.,2024-01-26,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
453,Хостел 24/7 ,2024-01-26,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
454,"Чорний Квадрат. «Роздряпане серце, або Він не дасть тобі заснути»",2024-01-26,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
455,Мистецтво домовлятися,2024-01-26,18:30:00,Київський академічний театр на Печерську,Вечірня
456,Швейцарія ,2024-01-27,14:00:00,Київський академічний драматичний театр на Подолі,Денна
457,Король Дроздобород ,2024-01-27,15:00:00,Київська опера (Театр опери і балету для дітей та юнацтва),Денна
458,Безіменна зірка,2024-01-27,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
459,«Останнє полювання» ,2024-01-27,17:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Післяобідня
460,Скрипаль на даху ,2024-01-27,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
461,Фальшива нота,2024-01-27,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
462,SALIDA CRUZADA - 8 кроків танго ,2024-01-27,17:00:00,Київський академічний театр на Печерську,Післяобідня
463,Батько,2024-01-27,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
464,Молитва за Елвіса ,2024-01-27,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
465,ВомбатМишаКіт ,2024-01-28,12:00:00,Київський академічний театр юного глядача на Липках.,Денна
466,Емігранти ,2024-01-28,14:00:00,Київський академічний драматичний театр на Подолі,Денна
467,«Море... Ніч... Свічки...»,2024-01-28,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
468,Сон літньої ночі,2024-01-28,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
469,Дюймовочка ,2024-01-28,16:00:00,Київський академічний театр юного глядача на Липках.,Післяобідня
470,Бубновий ельф ,2024-01-28,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
471, «Вірогідності». ,2024-01-28,17:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Післяобідня
472,Летюча миша ,2024-01-28,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
473,Загадкове нічне вбивство собаки ,2024-01-28,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
474,SALIDA CRUZADA - 8 кроків танго ,2024-01-28,17:00:00,Київський академічний театр на Печерську,Післяобідня
475,«Лист незнайомки»,2024-01-28,18:00:00,Дім Актора,Вечірня
476,Зозуля ,2024-01-28,18:00:00,Український малий драматичний театр,Вечірня
477,«37 листівок».,2024-01-28,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
478,Чорний квадрат. Поховайте мене за плінтусом,2024-01-28,18:00:00,Культурний центр «Арт-Братислава»,Вечірня
479,«Мандрагора»,2024-01-28,18:00:00,Театр «Актор»,Вечірня
480,Замовляю любов ,2024-01-30,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
481,Моє століття,2024-01-30,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
482,Корсиканка.,2024-01-30,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
483,№ 13,2024-01-30,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
484,Гамлет ,2024-01-30,18:30:00,Київський академічний театр на Печерську,Вечірня
485,Імітація,2024-01-31,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
486,Сірі бджоли ,2024-01-31,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
487,Містер Ікс ,2024-01-31,18:00:00,Київський Національний Академічний театр оперети,Вечірня
488,Занадто одружений таксист ,2024-01-31,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
489,Сімейний альбом / Album di Famiglia. ,2024-01-31,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
490,Мегери ,2024-01-31,18:00:00,Театр «Актор»,Вечірня
491,"Ей ти, - привіт! ",2024-01-31,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
492,"«Будьте здорові, мосьє!»",2024-02-02,18:00:00,Будинок Офіцерів,Вечірня
493,Гуцулка Ксеня,2024-02-03,18:00:00,МЦКМ (Жовтневий палац),Вечірня
494,Приємна несподіванка,2024-02-10,18:00:00,Будинок Офіцерів,Вечірня
495,«Наші КАЙДАШІ»,2024-02-11,18:00:00,Будинок Офіцерів,Вечірня
496,Kyiv Modern Ballet. Маленький принц. Pаду Поклітару,2024-03-10,18:00:00,МЦКМ (Жовтневий палац),Вечірня
497,Kyiv Modern Ballet. Жізель. Раду Поклитару,2024-03-22,18:00:00,МЦКМ (Жовтневий палац),Вечірня
498,Kyiv Modern Ballet. Вій. Раду Поклітару,2024-04-27,18:00:00,МЦКМ (Жовтневий палац),Вечірня
